Country/Region,Literacy rate(%),Mean years of schooling,Share of education in governmental expenditure (%)
South Sudan,27.00,,3.93
Afghanistan,28.10,3.85,18.40
Burkina Faso,28.70,,16.17
Niger,28.70,1.88,21.66
Mali,33.40,1.97,18.22
Chad,35.40,,12.46
Somalia,37.80,,
Ethiopia,39.00,,27.02
Guinea,41.00,,14.13
Benin,42.40,4.43,22.23
Sierra Leone,43.30,4.23,15.09
Haiti,48.70,5.11,
Senegal,49.70,2.74,20.72
Wallis and Futuna,50.00,,
Gambia,51.10,3.77,10.28
Bhutan,52.80,,17.82
Pakistan,54.90,5.02,11.30
Guinea-Bissau,55.30,,16.19
Mozambique,56.10,1.93,19.03
Central African Republic,56.60,3.76,7.83
Cote d'Ivoire,56.90,4.65,20.67
Nepal,57.40,4.23,22.09
Bangladesh,57.70,5.91,13.82
Timor,58.30,,7.75
Mauritania,58.60,4.53,11.41
Togo,60.40,5.49,19.36
Liberia,60.80,4.20,8.10
Nigeria,61.30,,
Zambia,61.40,7.32,5.65
Papua New Guinea,62.40,4.26,
India,62.80,6.24,14.06
Madagascar,64.50,,13.99
Yemen,65.30,3.68,12.49
Democratic Republic of Congo,66.80,3.66,16.83
Morocco,67.10,4.96,17.30
Burundi,67.20,3.35,17.24
Tanzania,67.80,5.81,17.26
Djibouti,67.90,,12.33
Eritrea,68.90,,5.17
Sao Tome and Principe,69.50,,12.31
Angola,70.40,,8.68
Rwanda,71.10,4.36,16.60
Cameroon,71.30,6.15,13.82
Ghana,71.50,7.00,21.70
Sudan,71.90,3.21,10.77
Algeria,72.60,6.68,11.43
Laos,72.70,5.02,15.35
Uganda,73.20,5.70,11.76
Cambodia,73.90,4.72,13.08
Egypt,73.90,7.15,10.44
Malawi,74.80,4.81,16.34
Comoros,75.50,,18.49
Guatemala,75.90,4.57,20.64
Belize,76.90,11.29,22.92
Nicaragua,78.00,6.61,22.75
Iraq,78.50,7.16,
Tunisia,79.10,7.48,21.62
Gibraltar,80.00,,
Vanuatu,83.20,,21.83
Zimbabwe,83.60,7.61,8.72
Congo,83.80,5.94,29.02
Solomon Islands,84.10,,17.48
Syria,84.10,6.70,19.18
El Salvador,84.50,7.77,15.87
Cape Verde,84.90,,14.98
Iran,85.00,8.88,19.67
Botswana,85.10,9.55,20.48
Honduras,85.10,6.19,19.23
Oman,86.90,,10.95
Jamaica,87.00,9.87,21.80
Saudi Arabia,87.20,8.53,19.26
Kenya,87.40,6.14,20.56
Swaziland,87.80,5.06,22.36
Mauritius,88.80,8.86,20.91
Namibia,88.80,6.17,26.19
Gabon,89.00,8.39,17.71
Micronesia (country),89.00,,9.97
Libya,89.50,8.00,8.14
Lebanon,89.60,,8.58
Lesotho,89.60,5.85,24.70
Peru,89.60,8.88,16.24
United Arab Emirates,90.00,9.07,5.02
Dominican Republic,90.10,7.85,12.58
Saint Lucia,90.10,,15.30
Puerto Rico,90.30,,21.58
Brazil,90.40,7.89,15.57
Bolivia,91.20,8.25,16.85
Sri Lanka,91.20,10.06,8.75
Ecuador,91.60,7.60,10.35
Guyana,91.80,8.79,10.26
Seychelles,91.80,,10.39
Kosovo,91.90,,
Palau,92.00,,15.34
Malta,92.40,10.52,15.26
Myanmar,92.70,4.85,
Indonesia,92.80,7.61,17.59
South Africa,93.00,9.69,19.11
Malaysia,93.10,10.44,21.48
Vietnam,93.40,7.15,21.44
Hong Kong,93.50,11.38,17.62
Mexico,93.50,8.79,19.01
Thailand,93.50,7.99,21.40
Colombia,93.60,8.95,15.86
Fiji,93.70,9.96,14.03
Marshall Islands,93.70,,22.51
Kuwait,93.90,6.34,13.37
Paraguay,93.90,7.57,19.60
Dominica,94.00,,11.42
Panama,94.10,9.27,13.02
Turkey,94.10,7.05,8.55
Equatorial Guinea,94.20,,5.25
Bahrain,94.60,7.06,8.95
Suriname,94.70,,
Anguilla,95.00,,
Cook Islands,95.00,,
Niue,95.00,,
China,95.10,7.95,12.63
Brunei,95.40,8.74,9.99
Philippines,95.40,8.43,13.21
Portugal,95.40,7.52,10.25
Venezuela,95.50,8.41,20.66
Bahamas,95.60,,19.50
Macao,95.60,8.54,14.25
Jordan,95.90,9.59,14.18
Singapore,95.90,10.81,19.93
